Name | Visual Studio Community 2022, | Version | 17.2.5, | Publisher | Microsoft Corporation
Name | EpocCam drivers 3.4.0, | Version | 3.4.0, | Publisher | Elgato
Name | FileZilla 3.60.1, | Version | 3.60.1, | Publisher | Tim Kosse
Name | Google Chrome, | Version | 103.0.5060.134, | Publisher | Google LLC
Name | Microsoft Edge, | Version | 103.0.1264.71, | Publisher | Microsoft Corporation
Name | Microsoft Edge Update, | Version | 1.3.163.19, | Publisher | undefined
Name | Microsoft Edge WebView2 Runtime, | Version | 103.0.1264.62, | Publisher | Microsoft Corporation
Name | Nmap 7.92, | Version | 7.92, | Publisher | Nmap Project
Name | Npcap, | Version | 1.50, | Publisher | Nmap Project
Name | OBS Studio, | Version | 27.2.4, | Publisher | OBS Project
Name | Origin, | Version | 10.5.113.50894, | Publisher | Electronic Arts, Inc.
Name | Overwolf, | Version | 0.201.0.23, | Publisher | Overwolf Ltd.
Name | Rainmeter, | Version | 4.5.13, | Publisher | Rainmeter
Name | Elgato USB Audio Device Driver v5.30.0, | Version | 5.30.0, | Publisher | Elgato
Name | Steam, | Version | 2.10.91.91, | Publisher | Valve Corporation
Name | Tailscale, | Version | 1.26.0, | Publisher | Tailscale Inc.
Name | Windows IoT Extension SDK Contracts, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Tools, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664, | Version | 12.0.40664.0, | Publisher | Microsoft Corporation
Name | Windows SDK Modern Non-Versioned Developer Tools, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows Mobile Extension SDK Contracts, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501, | Version | 12.0.30501.0, | Publisher | Microsoft Corporation
Name | WinAppDeploy, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Tools arm64, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows IoT Extension SDK, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Contracts, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | WinRT Intellisense UAP - en-us, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps DirectX x86 Remote, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows Mobile Extension SDK Contracts, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Tools, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | WinRT Intellisense UAP - Other Languages, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK ARM Desktop Tools, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows 11 Installation Assistant, | Version | 1.4.19041.1703, | Publisher | Microsoft Corporation
Name | Windows IoT Extension SDK, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Libs, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Microsoft Visual Studio Setup WMI Provider, | Version | 3.2.2137.26324, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Tools x64, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | WinRT Intellisense PPI - en-us, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs x64, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Metadata, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows Team Extension SDK Contracts, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows Software Development Kit - Windows 10.0.22000.194, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Tools x86, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Libs, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | WinRT Intellisense IoT - Other Languages, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs x86, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs arm64, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK Modern Versioned Developer Tools, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Contracts, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs arm, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | WinAppDeploy, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Metadata, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs arm, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK Facade Windows WinMD Versioned, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps DirectX x86 Remote, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Universal CRT Headers Libraries and Sources, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | vs_minshellmsires, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | WinRT Intellisense IoT - en-us, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | WinRT Intellisense IoT - en-us, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Libs, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Battlefield™ 1, | Version | undefined, | Publisher | Electronic Arts, Inc.
Name | Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030, | Version | 11.0.61030.0, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Headers x64, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | vcpp_crt.redist.clickonce, | Version | 14.32.31332, | Publisher | Microsoft Corporation
Name | Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.32.31332, | Version | 14.32.31332.0, | Publisher | Microsoft Corporation
Name | WinRT Intellisense PPI - en-us, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK ARM Desktop Tools, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Headers x86, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK Facade Windows WinMD Versioned, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | WinRT Intellisense Mobile - en-us, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | vs_minshellinteropsharedmsi, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | Launcher Prerequisites (x64), | Version | 1.0.0.0, | Publisher | Epic Games, Inc.
Name | Windows SDK Desktop Headers x86, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | WinRT Intellisense Mobile - en-us, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows Software Development Kit - Windows 10.0.19041.685, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.32.31326, | Version | 14.32.31326, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Headers arm64, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows IoT Extension SDK Contracts, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | icecap_collectionresourcesx64, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Tools, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Tools x64, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Headers arm, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Universal CRT Extension SDK, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows App Certification Kit x64, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows Team Extension SDK, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | vs_communitymsires, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | Windows SDK Signing Tools, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | vs_tipsmsi, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs x64, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK Signing Tools, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows Team Extension SDK Contracts, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | WinRT Intellisense IoT - Other Languages, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs x86, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | MSI Development Tools, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Universal CRT Redistributable, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | SDK ARM Redistributables, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Headers arm, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows Desktop Extension SDK Contracts, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Universal CRT Headers Libraries and Sources, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | vs_filehandler_x86, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | Microsoft Visual C++ 2005 Redistributable, | Version | 8.0.61001, | Publisher | Microsoft Corporation
Name | Windows Mobile Extension SDK, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs arm, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | vs_minshellsharedmsi, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | Epic Online Services, | Version | 2.0.33.0, | Publisher | Epic Games, Inc.
Name | Windows SDK Desktop Headers arm, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows App Certification Kit SupportedApiList x86, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | WinAppDeploy, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows Mobile Extension SDK Contracts, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | MSI Development Tools, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | vs_CoreEditorFonts, | Version | 17.2.32615, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Libs x86, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | icecap_collection_neutral, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | WinRT Intellisense Desktop - en-us, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows Team Extension SDK, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows IoT Extension SDK Contracts, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664, | Version | 12.0.40664, | Publisher | Microsoft Corporation
Name | Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.32.31326, | Version | 14.32.31326.0, | Publisher | Microsoft Corporation
Name | WinRT Intellisense Desktop - Other Languages, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows Mobile Extension SDK, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | WinRT Intellisense PPI - Other Languages, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | vs_filehandler_amd64, | Version | 17.2.32408, | Publisher | Microsoft Corporation
Name | WinRT Intellisense UAP - Other Languages, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | Windows SDK DirectX x86 Remote, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Managed Apps Libs, | Version | 10.1.22621.1, | Publisher | Microsoft Corporation
Name | Windows SDK for Windows Store Apps Headers, | Version | 10.1.19041.685, | Publisher | Microsoft Corporation
Name | WinRT Intellisense UAP - en-us, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
Name | Windows SDK Desktop Tools arm64, | Version | 10.1.22000.194, | Publisher | Microsoft Corporation
